Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorus,Fertilizer,Location,pH
33.64,39.98,8.08,Clay,Ragi,50,36,21,Compost,Raichur,7.01
28.44,72.31,43.98,Black,Maize,72,55,33,NPK,Belagavi,7.51
27.53,88.56,75.34,Clay,Sugarcane,112,119,42,Farmyard Manure,Udupi,6.53
27.0,59.22,49.62,Red,Tur,29,45,20,NPK,Mandya,5.61
23.27,58.2,36.97,Red,Cotton,87,43,42,MOP,Belagavi,5.59
28.45,57.58,57.26,Clay,Rice,85,60,34,NPK,Bengaluru,6.37
31.71,40.87,13.12,Sandy,Maize,67,42,31,Compost,Vijayapura,6.34
21.03,62.61,44.15,Black,Maize,43,46,26,Urea,Chikkamagaluru,7.44
26.95,67.33,30.0,Clay,Sugarcane,131,126,58,Farmyard Manure,Davangere,6.36
31.53,45.91,30.0,Clay,Sugarcane,102,116,53,Urea,Bidar,5.98
25.4,61.59,52.07,Laterite,Maize,78,45,22,DAP,Bengaluru,5.79
26.67,65.97,63.79,Laterite,Rice,87,62,43,Compost,Hassan,5.82
25.48,68.45,35.47,Black,Cotton,86,58,28,NPK,Tumakuru,6.95
32.09,80.18,58.82,Sandy,Rice,102,60,56,NPK,Mandya,6.6
35.05,45.49,62.11,Red,Rice,104,71,30,NPK,Bidar,5.71
32.12,40.41,15.88,Sandy,Ragi,41,28,11,NPK,Vijayapura,6.43
33.53,38.72,19.65,Black,Tur,34,33,26,NPK,Bidar,6.65
30.66,57.99,70.68,Sandy,Tur,14,27,19,Urea,Mandya,7.31
23.35,64.11,64.55,Red,Tur,17,28,36,NPK,Davangere,5.6
26.41,81.54,17.52,Clay,Groundnut,28,33,49,DAP,Mandya,7.34
31.78,63.53,19.95,Red,Tur,38,20,20,Compost,Kolar,5.85
26.67,54.71,36.35,Black,Sugarcane,95,113,45,Urea,Davangere,7.6
27.28,49.57,30.33,Red,Groundnut,27,37,63,DAP,Davangere,5.78
27.69,73.59,48.37,Sandy,Maize,87,46,36,NPK,Bengaluru,6.29
33.72,36.46,44.11,Black,Cotton,65,63,31,Compost,Bidar,7.36
29.28,40.66,40.0,Clay,Rice,68,69,49,Urea,Kalaburagi,7.42
22.56,65.49,46.12,Red,Tur,27,20,23,NPK,Kolar,6.43
31.82,37.44,46.37,Clay,Rice,109,74,34,Urea,Raichur,5.96
28.75,53.38,17.39,Black,Jowar,49,46,16,Compost,Belagavi,7.39
22.51,77.75,60.4,Clay,Sugarcane,103,114,53,Urea,Uttara Kannada,6.69
28.34,68.37,34.44,Sandy,Ragi,21,24,12,Urea,Tumakuru,6.51
28.92,75.03,38.96,Clay,Sunflower,63,84,27,NPK,Hubballi-Dharwad,6.56
25.79,61.86,59.07,Red,Rice,93,56,35,Compost,Mandya,6.28
31.21,49.22,40.99,Red,Sunflower,73,68,30,NPK,Belagavi,6.48
32.79,43.77,53.34,Clay,Sugarcane,117,102,26,DAP,Ballari,5.54
24.07,76.25,68.72,Red,Sugarcane,130,131,55,Farmyard Manure,Hassan,5.63
24.49,65.48,43.0,Sandy,Jowar,33,33,19,Urea,Tumakuru,6.3
24.62,76.17,37.73,Sandy,Sugarcane,91,99,56,Urea,Uttara Kannada,6.46
28.21,71.86,32.58,Laterite,Cotton,77,51,28,NPK,Hassan,5.44
26.74,97.31,77.41,Sandy,Groundnut,27,39,52,DAP,Dakshina Kannada,7.1
22.52,66.94,67.68,Laterite,Tur,23,35,26,NPK,Udupi,5.32
27.4,83.41,87.7,Clay,Rice,98,44,45,MOP,Dakshina Kannada,6.86
23.22,81.73,72.61,Laterite,Rice,97,66,35,NPK,Udupi,5.3
22.98,66.28,34.84,Black,Maize,82,56,38,Compost,Bengaluru,7.45
29.38,56.55,50.87,Black,Rice,98,68,33,NPK,Bengaluru,7.72
32.13,63.65,42.26,Laterite,Maize,64,46,32,Urea,Mandya,5.53
34.47,53.89,21.0,Laterite,Maize,67,46,38,Compost,Mysuru,4.71
30.52,42.94,12.15,Black,Maize,85,55,33,Urea,Ballari,7.04
23.45,61.8,49.04,Sandy,Maize,68,32,42,MOP,Mysuru,7.0
26.38,45.14,69.22,Clay,Coffee,51,65,23,Farmyard Manure,Mysuru,6.96
21.41,70.58,83.2,Laterite,Coffee,44,72,22,Farmyard Manure,Udupi,5.56
27.55,46.15,5.53,Laterite,Groundnut,28,25,45,DAP,Chikkamagaluru,5.55
31.15,41.0,16.33,Black,Maize,77,46,34,NPK,Raichur,7.18
28.61,50.44,73.97,Black,Sugarcane,135,133,36,Farmyard Manure,Chikkamagaluru,6.68
31.29,49.09,52.88,Sandy,Groundnut,39,22,51,MOP,Chitradurga,6.72
24.16,58.01,47.35,Clay,Coffee,54,68,11,Farmyard Manure,Mandya,5.78
23.35,86.91,47.3,Laterite,Sunflower,74,71,34,NPK,Mangaluru,5.65
32.7,41.88,60.0,Laterite,Jowar,41,29,20,NPK,Chikkamagaluru,5.31
20.86,79.48,88.83,Clay,Coffee,44,60,12,Farmyard Manure,Mangaluru,6.37
21.54,72.91,35.51,Sandy,Jowar,43,33,28,NPK,Udupi,6.7
35.74,36.0,42.87,Clay,Rice,97,57,50,Urea,Bidar,5.54
26.14,77.71,61.49,Clay,Maize,73,60,39,NPK,Uttara Kannada,6.37
25.64,83.78,36.85,Sandy,Groundnut,36,37,48,DAP,Uttara Kannada,6.87
33.18,33.73,26.96,Laterite,Ragi,43,34,25,NPK,Bidar,5.57
35.22,43.54,46.71,Red,Tur,39,52,34,NPK,Bidar,5.55
26.38,76.71,95.0,Laterite,Sugarcane,104,103,50,Urea,Udupi,5.5
29.46,71.12,52.67,Sandy,Maize,78,42,30,Compost,Bengaluru,6.62
21.58,83.56,11.06,Red,Ragi,33,25,15,NPK,Uttara Kannada,6.63
33.07,36.91,44.81,Black,Maize,88,54,48,Compost,Raichur,6.86
32.05,79.75,26.47,Red,Maize,66,46,36,Compost,Mandya,6.11
27.54,82.75,77.9,Laterite,Maize,69,44,30,NPK,Udupi,5.16
27.61,71.13,10.17,Black,Jowar,56,47,16,NPK,Kolar,7.75
20.92,86.4,81.36,Laterite,Rice,81,42,42,MOP,Dakshina Kannada,5.57
30.62,42.23,10.12,Sandy,Groundnut,26,42,37,DAP,Vijayapura,7.03
21.08,70.32,38.97,Sandy,Coffee,51,58,18,Farmyard Manure,Bengaluru,6.97
32.85,36.46,26.19,Red,Groundnut,35,46,47,DAP,Kalaburagi,5.93
30.49,53.15,9.11,Laterite,Sunflower,81,73,21,Urea,Chitradurga,5.0
28.79,60.28,43.02,Black,Maize,84,65,45,Urea,Mandya,7.17
25.61,85.9,85.71,Sandy,Sugarcane,128,87,28,DAP,Mangaluru,6.79
24.48,71.0,42.82,Laterite,Maize,74,29,26,MOP,Kolar,5.55
31.41,47.73,5.12,Red,Ragi,41,32,19,Compost,Kalaburagi,5.86
26.83,67.7,58.37,Clay,Groundnut,37,45,54,DAP,Tumakuru,5.89
20.44,51.33,34.08,Clay,Coffee,52,58,22,Farmyard Manure,Bidar,6.32
28.35,40.79,54.13,Black,Rice,92,59,48,NPK,Vijayapura,6.58
24.6,86.85,58.37,Red,Cotton,65,43,28,MOP,Udupi,5.87
23.8,65.49,57.37,Clay,Rice,97,62,45,Compost,Mandya,5.78
28.89,58.17,38.95,Black,Cotton,45,77,27,Urea,Davangere,6.57
27.03,69.49,8.08,Sandy,Ragi,33,16,13,NPK,Hassan,6.84
23.43,75.05,95.0,Red,Rice,88,52,48,NPK,Mangaluru,6.62
25.01,65.58,80.92,Clay,Coffee,43,71,8,DAP,Chikkamagaluru,6.5
35.95,36.38,40.55,Black,Rice,96,61,24,DAP,Ballari,7.64
31.1,34.95,5.0,Red,Tur,30,34,7,DAP,Vijayapura,6.03
28.41,71.86,69.21,Black,Sugarcane,104,111,61,Urea,Kolar,6.96
28.27,43.82,30.0,Clay,Coffee,37,66,30,Farmyard Manure,Ballari,6.88
17.91,82.48,61.07,Red,Coffee,45,61,27,Farmyard Manure,Uttara Kannada,6.61
35.9,46.81,40.0,Clay,Rice,95,70,33,NPK,Bidar,6.44
36.01,29.37,17.77,Black,Jowar,44,53,25,NPK,Kalaburagi,7.57
26.08,42.22,25.55,Red,Maize,88,32,35,MOP,Davangere,6.2
26.04,50.54,33.49,Clay,Coffee,48,52,19,Farmyard Manure,Chitradurga,6.43
23.84,69.27,60.0,Sandy,Ragi,47,25,23,Compost,Mangaluru,6.99
28.06,69.33,37.21,Red,Groundnut,31,39,67,DAP,Davangere,5.82
27.18,50.51,5.0,Red,Cotton,70,67,32,Urea,Davangere,6.09
32.19,42.15,12.63,Clay,Groundnut,32,39,71,DAP,Vijayapura,6.51
20.26,79.95,51.91,Sandy,Ragi,20,45,17,Urea,Uttara Kannada,7.63
27.9,67.36,33.35,Sandy,Tur,22,20,25,NPK,Hassan,6.64
27.92,77.53,64.29,Clay,Groundnut,40,33,48,DAP,Uttara Kannada,7.08
32.55,27.82,40.0,Red,Rice,90,43,48,MOP,Vijayapura,6.11
26.62,71.78,43.27,Sandy,Groundnut,28,33,42,DAP,Bengaluru,6.38
26.75,35.14,5.0,Sandy,Maize,89,52,37,NPK,Kalaburagi,7.22
29.89,45.32,59.48,Sandy,Coffee,36,71,19,Farmyard Manure,Hubballi-Dharwad,6.37
33.54,34.86,5.0,Clay,Maize,90,78,26,Compost,Raichur,6.63
32.22,71.25,48.43,Sandy,Ragi,46,28,18,NPK,Hassan,6.83
26.8,54.5,30.21,Black,Jowar,60,38,22,Compost,Chitradurga,7.59
29.55,68.34,68.8,Black,Rice,99,79,55,Urea,Mysuru,7.48
35.45,39.77,50.72,Sandy,Ragi,32,29,18,NPK,Bidar,7.08
32.94,35.57,24.23,Black,Sunflower,54,71,38,Urea,Bidar,7.55
29.96,47.33,5.0,Black,Ragi,48,39,19,Urea,Davangere,6.9
30.74,43.0,30.0,Black,Sugarcane,134,132,40,Farmyard Manure,Belagavi,7.41
35.08,61.66,50.16,Red,Tur,26,33,31,Compost,Mandya,6.83
29.53,45.35,24.2,Clay,Groundnut,32,36,55,DAP,Bidar,6.8
25.09,69.04,39.14,Sandy,Maize,58,45,33,Urea,Mandya,6.49
34.72,39.44,17.82,Clay,Maize,109,42,26,NPK,Kalaburagi,6.76
30.13,67.23,40.43,Black,Groundnut,52,45,34,DAP,Kolar,7.37
23.7,55.17,74.24,Red,Coffee,45,57,17,Farmyard Manure,Hassan,6.32
26.26,31.76,61.53,Red,Coffee,46,59,15,Farmyard Manure,Ballari,6.31
27.8,54.77,37.51,Black,Tur,34,37,19,NPK,Chitradurga,6.52
26.74,82.53,84.65,Sandy,Maize,96,33,43,MOP,Uttara Kannada,6.7
30.21,53.13,48.48,Black,Rice,68,58,45,Urea,Hubballi-Dharwad,6.71
33.86,57.63,49.98,Black,Sugarcane,135,107,38,Farmyard Manure,Hubballi-Dharwad,7.37
22.78,84.63,59.06,Black,Ragi,56,46,19,Compost,Dakshina Kannada,7.44
25.81,53.42,44.11,Clay,Maize,81,81,36,Urea,Bengaluru,6.26
34.74,60.43,10.9,Black,Ragi,46,12,14,MOP,Chitradurga,7.27
28.74,62.48,30.88,Red,Tur,40,26,23,NPK,Mandya,5.81
29.12,47.51,64.53,Clay,Sugarcane,96,85,43,Urea,Davangere,6.15
32.52,31.78,13.17,Sandy,Maize,87,37,42,NPK,Ballari,6.5
32.49,44.53,29.66,Black,Maize,76,56,38,NPK,Kalaburagi,7.71
26.98,84.73,80.68,Clay,Rice,90,57,41,NPK,Mangaluru,6.51
23.67,65.93,53.39,Laterite,Coffee,45,68,31,Farmyard Manure,Chikkamagaluru,5.79
30.34,41.56,38.68,Sandy,Jowar,52,37,24,NPK,Belagavi,6.61
34.02,33.27,51.46,Clay,Rice,90,63,34,Urea,Ballari,5.95
26.75,83.7,67.6,Black,Groundnut,39,55,62,DAP,Mangaluru,7.42
35.76,38.21,42.26,Clay,Rice,85,55,42,NPK,Vijayapura,6.97
23.53,84.69,36.84,Sandy,Ragi,26,14,20,MOP,Dakshina Kannada,6.7
30.46,63.78,33.46,Red,Cotton,71,46,20,Compost,Kolar,6.99
32.58,50.46,51.13,Red,Groundnut,40,43,51,DAP,Davangere,6.09
21.61,88.73,61.53,Black,Coffee,46,63,11,Farmyard Manure,Uttara Kannada,7.18
23.08,48.6,64.96,Laterite,Coffee,40,49,11,Farmyard Manure,Hassan,5.76
28.57,77.48,76.35,Black,Tur,20,35,27,NPK,Uttara Kannada,7.73
30.81,41.01,40.0,Black,Rice,117,65,45,NPK,Kalaburagi,7.18
27.52,87.69,84.32,Black,Rice,96,73,45,NPK,Dakshina Kannada,6.44
33.23,49.46,40.0,Clay,Rice,89,65,33,Urea,Raichur,6.74
33.96,39.84,40.0,Clay,Rice,97,53,44,Compost,Raichur,6.72
31.02,35.26,45.75,Clay,Rice,81,62,29,DAP,Raichur,5.83
33.78,30.32,30.0,Laterite,Sugarcane,136,118,26,DAP,Ballari,5.52
35.39,53.0,40.0,Red,Rice,86,60,37,NPK,Belagavi,6.39
30.47,28.19,35.18,Red,Sugarcane,108,119,51,Farmyard Manure,Vijayapura,5.84
23.95,55.62,18.98,Sandy,Maize,77,42,18,DAP,Tumakuru,6.8
26.37,32.08,50.11,Clay,Coffee,55,54,20,Farmyard Manure,Bidar,6.85
29.43,61.63,56.66,Red,Rice,85,52,44,NPK,Kolar,5.86
31.6,73.98,31.54,Red,Sunflower,66,70,32,Compost,Mandya,5.88
25.22,82.64,54.34,Clay,Ragi,38,35,23,Compost,Mysuru,7.0
30.48,25.29,12.21,Black,Tur,34,28,32,NPK,Raichur,6.83
31.35,59.18,30.0,Clay,Sugarcane,95,134,31,Urea,Hassan,6.55
27.85,70.01,26.26,Laterite,Maize,91,52,21,DAP,Chikkamagaluru,5.6
25.32,89.12,67.3,Black,Rice,92,60,45,NPK,Mandya,7.18
29.36,35.02,30.0,Red,Sugarcane,117,120,47,Farmyard Manure,Raichur,6.12
23.23,78.13,60.0,Red,Ragi,55,30,24,NPK,Uttara Kannada,5.9
23.69,71.34,37.33,Red,Cotton,74,44,28,MOP,Belagavi,6.91
23.3,65.11,26.07,Sandy,Groundnut,35,36,47,DAP,Tumakuru,7.16
38.46,35.19,49.36,Black,Cotton,78,58,29,Urea,Raichur,7.53
26.45,74.24,61.28,Laterite,Coffee,46,57,26,Farmyard Manure,Hassan,5.62
30.39,39.11,65.47,Black,Rice,88,64,46,Urea,Hubballi-Dharwad,7.21
37.02,37.25,40.0,Clay,Rice,111,50,36,Compost,Raichur,6.49
33.1,47.26,41.91,Clay,Rice,114,65,26,DAP,Kalaburagi,6.53
25.73,51.32,48.07,Clay,Rice,91,57,36,Compost,Kolar,6.56
26.76,82.11,56.14,Sandy,Jowar,53,40,14,Compost,Uttara Kannada,7.36
26.28,65.26,57.08,Red,Groundnut,36,58,40,DAP,Tumakuru,5.87
26.83,50.97,60.88,Black,Rice,98,53,36,NPK,Mandya,7.58
29.59,60.51,41.86,Red,Rice,98,56,45,Compost,Belagavi,6.06
33.91,46.95,5.0,Clay,Jowar,58,43,23,Compost,Bidar,6.75
27.82,63.23,28.94,Sandy,Ragi,25,18,15,Compost,Mandya,6.8
26.3,76.82,51.96,Clay,Cotton,71,52,29,Compost,Udupi,6.61
27.81,43.08,5.0,Red,Ragi,56,43,28,NPK,Vijayapura,5.63
26.37,90.81,56.65,Clay,Rice,64,65,44,Urea,Uttara Kannada,6.19
21.51,77.79,80.27,Clay,Sugarcane,117,100,59,Farmyard Manure,Mangaluru,5.89
25.04,69.26,35.04,Sandy,Cotton,60,62,45,Compost,Chikkamagaluru,7.26
31.74,45.27,9.48,Clay,Sunflower,64,75,25,Compost,Kalaburagi,6.33
31.72,31.61,64.05,Red,Sugarcane,120,112,58,Farmyard Manure,Ballari,6.18
31.82,48.78,5.0,Black,Jowar,53,35,17,NPK,Raichur,7.46
29.25,70.24,59.58,Laterite,Groundnut,32,39,57,DAP,Mysuru,5.11
28.38,60.06,94.31,Red,Rice,59,55,46,Urea,Hubballi-Dharwad,6.49
27.98,75.09,93.36,Black,Rice,85,76,43,Compost,Udupi,7.34
25.17,57.81,42.86,Red,Groundnut,15,48,57,Urea,Chitradurga,5.54
26.69,73.52,69.15,Sandy,Groundnut,42,30,60,DAP,Mangaluru,7.04
24.83,63.73,23.19,Clay,Ragi,35,10,13,MOP,Belagavi,6.47
27.85,67.06,32.68,Laterite,Maize,75,39,41,NPK,Kolar,6.26
22.31,53.56,62.99,Red,Coffee,50,61,20,Farmyard Manure,Hubballi-Dharwad,5.61
30.6,54.93,27.23,Sandy,Maize,79,26,37,MOP,Belagavi,6.58
29.22,48.58,31.46,Clay,Coffee,44,72,18,Farmyard Manure,Bidar,6.23
37.21,58.49,15.96,Laterite,Sunflower,45,71,38,NPK,Chitradurga,5.82
21.9,69.96,5.0,Black,Groundnut,42,57,54,DAP,Bengaluru,7.28
28.92,33.67,5.0,Sandy,Maize,73,35,34,NPK,Vijayapura,6.72
22.76,55.11,80.44,Laterite,Sugarcane,115,101,58,Farmyard Manure,Chikkamagaluru,5.3
24.61,91.12,58.58,Sandy,Ragi,36,19,15,Urea,Mangaluru,6.44
35.05,42.41,19.99,Sandy,Maize,66,32,32,MOP,Davangere,7.19
29.67,24.75,5.0,Black,Sunflower,65,59,38,Compost,Vijayapura,7.38
26.25,60.45,55.08,Black,Groundnut,29,43,40,DAP,Mandya,6.92
33.52,34.94,51.5,Black,Rice,87,75,34,NPK,Ballari,6.92
26.61,79.63,83.44,Clay,Cotton,87,62,29,NPK,Mangaluru,7.15
25.63,51.63,5.0,Red,Ragi,47,39,19,NPK,Hubballi-Dharwad,6.14
24.85,72.59,87.85,Sandy,Groundnut,24,36,49,DAP,Mangaluru,6.9
38.0,47.98,12.1,Clay,Jowar,47,41,17,Urea,Vijayapura,6.09
29.39,55.74,26.0,Black,Tur,39,35,16,NPK,Davangere,7.2
25.4,68.08,41.46,Red,Jowar,47,39,19,Compost,Bengaluru,5.81
31.85,60.83,40.55,Laterite,Groundnut,34,30,53,DAP,Chikkamagaluru,5.35
24.02,53.34,44.57,Clay,Coffee,40,50,12,Farmyard Manure,Chitradurga,6.66
30.93,33.83,63.01,Black,Sugarcane,141,108,42,Farmyard Manure,Vijayapura,7.65
29.5,85.15,74.02,Clay,Rice,102,69,44,Compost,Mangaluru,6.0
21.24,81.8,67.33,Black,Rice,117,64,47,Compost,Dakshina Kannada,7.34
26.52,85.01,29.17,Clay,Maize,77,70,47,NPK,Kolar,6.99
32.51,44.21,40.0,Clay,Rice,95,69,36,NPK,Bidar,6.75
28.42,62.05,5.0,Black,Jowar,51,56,10,NPK,Hubballi-Dharwad,7.07
26.92,61.42,67.52,Clay,Rice,86,53,37,Compost,Hassan,5.72
32.56,40.18,30.0,Laterite,Sugarcane,90,144,51,Urea,Kalaburagi,5.5
25.43,62.28,40.28,Clay,Coffee,35,68,23,Farmyard Manure,Bengaluru,6.37
27.34,60.52,31.61,Red,Jowar,43,42,16,Compost,Belagavi,5.98
31.67,60.91,5.0,Red,Ragi,39,45,21,NPK,Mandya,5.82
34.68,48.25,63.15,Red,Tur,22,31,30,NPK,Kalaburagi,5.67
27.03,62.44,65.07,Sandy,Sugarcane,130,95,26,DAP,Mandya,7.43
26.47,65.66,33.21,Black,Ragi,55,43,19,NPK,Mandya,7.04
30.73,49.36,44.88,Laterite,Maize,94,39,31,Urea,Chitradurga,5.79
26.12,62.87,37.42,Red,Jowar,48,40,20,NPK,Tumakuru,5.66
23.16,79.11,79.32,Black,Sugarcane,113,135,31,DAP,Uttara Kannada,7.0
25.39,58.94,27.28,Clay,Groundnut,37,44,53,DAP,Mysuru,6.28
28.87,56.17,51.95,Black,Maize,74,49,36,Urea,Davangere,7.58
22.83,83.04,60.0,Sandy,Ragi,45,25,11,Urea,Mangaluru,6.55
24.37,52.72,55.29,Clay,Rice,85,55,54,Compost,Chitradurga,6.26
33.5,48.39,40.0,Clay,Rice,63,57,42,Urea,Davangere,7.1
25.83,75.35,60.0,Red,Ragi,40,15,11,Urea,Bengaluru,6.15
27.87,64.2,34.18,Clay,Groundnut,37,49,53,DAP,Bengaluru,6.61
32.78,38.63,5.0,Black,Jowar,63,31,17,NPK,Ballari,7.3
22.66,81.58,77.08,Black,Cotton,69,62,21,Compost,Uttara Kannada,7.44
30.0,30.12,40.75,Clay,Coffee,53,70,14,Farmyard Manure,Bidar,6.52
23.82,86.2,49.55,Black,Cotton,71,73,38,NPK,Udupi,8.0
23.56,54.95,55.48,Clay,Coffee,50,82,23,Farmyard Manure,Hassan,5.63
26.56,75.07,87.32,Clay,Rice,90,65,25,DAP,Dakshina Kannada,5.82
25.7,60.53,27.69,Laterite,Tur,27,39,19,NPK,Chikkamagaluru,5.74
28.39,57.89,71.02,Clay,Coffee,63,74,14,Farmyard Manure,Bengaluru,6.09
25.92,82.43,95.0,Clay,Maize,58,34,29,Urea,Dakshina Kannada,6.56
28.33,42.91,30.0,Clay,Sugarcane,133,105,23,DAP,Vijayapura,6.38
25.11,67.7,71.16,Black,Rice,99,78,43,NPK,Tumakuru,7.23
25.84,74.62,44.6,Sandy,Cotton,81,41,34,MOP,Udupi,6.84
30.46,53.71,10.23,Laterite,Ragi,41,35,25,Urea,Ballari,5.57
22.29,73.65,60.57,Black,Sugarcane,143,106,26,DAP,Mandya,7.13
22.31,68.37,38.59,Black,Coffee,47,74,16,Farmyard Manure,Davangere,6.45
28.43,54.43,61.67,Sandy,Maize,76,44,37,NPK,Kolar,7.15
19.64,50.98,52.02,Clay,Coffee,56,53,22,Farmyard Manure,Bengaluru,6.18
31.33,47.57,25.71,Sandy,Jowar,59,41,14,NPK,Kalaburagi,6.7
30.46,63.06,48.48,Laterite,Groundnut,36,41,53,DAP,Mandya,5.35
27.41,65.2,34.25,Sandy,Groundnut,38,39,47,DAP,Mandya,6.62
30.13,71.96,61.75,Clay,Cotton,79,55,36,Compost,Dakshina Kannada,6.63
30.0,36.67,54.81,Red,Coffee,37,43,16,MOP,Bidar,6.92
26.37,57.01,59.0,Red,Ragi,31,31,30,NPK,Bengaluru,6.7
25.28,80.83,45.37,Sandy,Maize,69,38,37,Urea,Uttara Kannada,7.02
29.24,58.74,9.31,Black,Ragi,29,21,17,Compost,Belagavi,6.98
30.6,63.75,42.19,Black,Groundnut,32,54,49,DAP,Davangere,7.3
26.0,80.21,56.34,Sandy,Tur,33,16,25,Compost,Udupi,6.56
23.01,60.69,47.21,Red,Ragi,23,35,23,Urea,Chikkamagaluru,6.33
32.91,48.96,28.88,Clay,Jowar,41,42,14,Compost,Davangere,6.51
32.09,45.98,30.12,Clay,Cotton,90,69,48,Compost,Kalaburagi,6.52
32.17,54.96,49.52,Red,Ragi,45,24,30,Urea,Hubballi-Dharwad,6.17
33.46,43.17,50.61,Black,Maize,74,70,26,Compost,Raichur,7.82
33.8,39.33,30.0,Black,Sugarcane,121,117,53,Farmyard Manure,Ballari,7.32
29.24,65.93,60.44,Clay,Sugarcane,110,96,29,DAP,Mandya,6.57
30.1,60.3,69.5,Clay,Rice,86,51,25,DAP,Mandya,6.64
28.2,32.58,79.02,Clay,Coffee,53,64,23,Farmyard Manure,Bidar,7.09
27.43,67.42,29.3,Laterite,Jowar,36,36,13,Compost,Mandya,5.51
22.76,72.07,24.31,Laterite,Groundnut,40,45,49,DAP,Mysuru,5.11
31.8,80.14,55.8,Clay,Rice,84,56,35,NPK,Bengaluru,6.36
26.52,57.66,32.33,Black,Sunflower,45,87,17,DAP,Kolar,6.67
28.57,47.95,18.36,Sandy,Ragi,22,25,9,Urea,Kalaburagi,6.71
30.2,82.17,63.41,Laterite,Maize,92,50,30,NPK,Uttara Kannada,5.86
28.41,67.57,22.28,Laterite,Sunflower,60,87,22,Urea,Hassan,5.11
27.12,62.9,39.44,Black,Sugarcane,100,92,53,Urea,Hassan,7.49
32.42,55.71,49.61,Black,Groundnut,51,64,38,DAP,Hubballi-Dharwad,6.46
23.81,72.17,68.62,Black,Sugarcane,94,73,41,Urea,Mangaluru,7.39
34.98,29.61,5.0,Black,Maize,92,50,41,NPK,Ballari,7.19
25.63,75.28,60.66,Laterite,Tur,27,18,29,Compost,Hassan,6.21
30.34,31.99,40.0,Clay,Rice,78,53,49,NPK,Vijayapura,6.44
29.9,85.03,43.26,Sandy,Sunflower,52,77,33,NPK,Uttara Kannada,6.39
25.56,81.28,44.99,Sandy,Ragi,33,23,23,Compost,Tumakuru,6.37
26.61,80.92,72.64,Laterite,Rice,86,63,37,NPK,Dakshina Kannada,5.39
24.87,83.99,66.41,Black,Sugarcane,119,124,60,Farmyard Manure,Dakshina Kannada,7.37
34.42,41.8,42.1,Sandy,Cotton,91,44,23,MOP,Ballari,7.21
29.7,60.07,49.28,Sandy,Cotton,82,63,24,NPK,Kolar,6.37
36.22,48.71,59.63,Clay,Sugarcane,102,111,55,Urea,Chitradurga,6.99
32.98,31.92,69.03,Clay,Rice,101,65,44,NPK,Vijayapura,6.26
27.81,62.02,37.19,Red,Cotton,86,55,31,NPK,Chitradurga,5.75
35.08,46.81,34.36,Black,Maize,82,77,24,DAP,Bidar,7.53
28.02,31.02,40.0,Black,Rice,102,61,39,Compost,Vijayapura,7.38
28.66,38.28,40.0,Black,Rice,98,70,35,Compost,Kalaburagi,7.26
31.14,34.6,40.0,Clay,Rice,82,71,39,NPK,Kalaburagi,6.3
33.79,36.39,23.1,Clay,Tur,31,39,16,NPK,Bidar,6.8
20.8,63.31,32.02,Clay,Tur,39,32,25,Urea,Hassan,6.38
20.25,84.43,69.63,Clay,Coffee,45,63,17,Farmyard Manure,Udupi,6.71
32.44,46.99,12.05,Clay,Jowar,51,37,25,Compost,Kalaburagi,5.98
23.31,76.7,72.65,Sandy,Maize,93,38,30,NPK,Udupi,5.75
28.67,64.7,33.59,Laterite,Coffee,37,63,17,Farmyard Manure,Belagavi,4.92
33.29,35.05,30.45,Black,Maize,89,63,46,Compost,Kalaburagi,7.92
23.28,77.08,94.2,Clay,Coffee,46,77,16,Farmyard Manure,Mangaluru,6.63
25.01,73.3,25.37,Sandy,Ragi,33,7,23,MOP,Tumakuru,7.1
29.11,84.99,41.58,Clay,Tur,22,27,26,Compost,Tumakuru,6.88
28.99,74.98,49.42,Laterite,Jowar,45,46,20,Urea,Kolar,5.31
25.05,58.91,59.04,Black,Rice,91,66,48,Compost,Kolar,7.19
32.78,49.14,5.0,Clay,Maize,89,54,53,NPK,Bidar,7.18
30.04,42.81,61.18,Clay,Rice,101,66,46,Compost,Ballari,5.68
20.69,87.52,54.18,Sandy,Sunflower,79,58,8,DAP,Dakshina Kannada,6.66
25.41,61.06,31.44,Laterite,Groundnut,18,49,33,Urea,Bengaluru,5.8
31.99,36.28,5.0,Clay,Jowar,64,50,25,NPK,Bidar,6.55
22.43,78.82,35.1,Laterite,Maize,93,30,41,MOP,Uttara Kannada,5.02
30.8,53.94,15.19,Sandy,Groundnut,48,35,44,DAP,Davangere,7.26
26.47,47.1,34.32,Clay,Coffee,54,76,25,Farmyard Manure,Bidar,6.22
32.79,46.31,58.18,Clay,Sugarcane,122,106,27,DAP,Vijayapura,6.11
28.14,47.04,42.21,Black,Coffee,54,59,22,Farmyard Manure,Davangere,7.57
26.72,72.64,60.0,Sandy,Sunflower,58,37,34,MOP,Udupi,7.55
32.39,47.88,5.0,Sandy,Tur,29,29,22,NPK,Vijayapura,7.01
31.26,34.23,5.7,Red,Ragi,32,33,17,NPK,Vijayapura,5.48
21.89,54.24,20.78,Clay,Jowar,41,45,12,Urea,Hubballi-Dharwad,5.88
28.7,67.06,60.26,Clay,Rice,101,67,39,NPK,Hassan,6.12
28.96,58.61,46.84,Laterite,Jowar,55,31,17,NPK,Bengaluru,5.67
